t,x,y,z
0,1,0,0
0.1,0.995004,0.0998334,0.2
0.2,0.980067,0.198669,0.4
0.3,0.955336,0.29552,0.6
0.4,0.921061,0.389418,0.8
0.5,0.877583,0.479426,1
0.6,0.825336,0.564642,1.2
0.7,0.764842,0.644218,1.4
0.8,0.696707,0.717356,1.6
0.9,0.62161,0.783327,1.8
1,0.540302,0.841471,2
1.1,0.453596,0.891207,2.2
1.2,0.362358,0.932039,2.4
1.3,0.267499,0.963558,2.6
1.4,0.169967,0.98545,2.8
1.5,0.0707372,0.997495,3
1.6,-0.0291995,0.999574,3.2
1.7,-0.128844,0.991665,3.4
1.8,-0.227202,0.973848,3.6
1.9,-0.32329,0.9463,3.8
2,-0.416147,0.909297,4
2.1,-0.504846,0.863209,4.2
2.2,-0.588501,0.808496,4.4
2.3,-0.666276,0.745705,4.6
2.4,-0.737394,0.675463,4.8
